split,num_train,num_pos_train,num_test,num_pos_test,time,average_precision,ndcg-precision,rec-precision,f1
2003,7890,175,3001,87,2.138648509979248,0.383320497255651,0.5318213499080439,0.4482758620689655,0.4968152866242038
2004,8468,214,2941,80,4.39110255241394,0.35139793442730377,0.4883814304752298,0.4125,0.3953488372093023
2005,9110,228,2834,80,6.2962987422943115,0.33040430188091763,0.48481250039349794,0.3875,0.39215686274509803
2006,8776,191,2788,56,5.614187717437744,0.17928857330005168,0.2883533518989908,0.23214285714285715,0.2589928057553957
2007,8563,174,2721,50,4.3796515464782715,0.1336339285643805,0.2722068959445963,0.24,0.18181818181818182
2008,8343,144,2718,57,4.402087926864624,0.1252415244650834,0.2493529181618281,0.19298245614035087,0.14965986394557823
2009,8227,114,2694,59,4.562163352966309,0.08814477561755157,0.18908418648138717,0.1864406779661017,0.18181818181818182
2010,8133,112,2667,71,4.144115686416626,0.1059686402374007,0.2271779876304117,0.18309859154929578,0.17687074829931973
2011,8079,121,2571,65,2.1562044620513916,0.09495150030898729,0.19255842120420275,0.15384615384615385,0.15384615384615385
2012,7932,117,2513,80,3.098616600036621,0.06426123887369617,0.13049436266166647,0.1125,0.12949640287769784
2013,7751,132,2481,90,3.957613468170166,0.05804627459721466,0.11462714216349032,0.1,0.10843373493975904
2014,7565,131,2468,83,3.278120756149292,0.0580095709449613,0.11350775040358896,0.10843373493975904,0.10650887573964497
